refactoring_type,file_path,method_name,class_name,lines_changed,cyclomatic_complexity,nesting_depth,commit_sha
Add Parameter,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethod,MethodUtilsTest,25,1,1,1d5ba7a1109ba6bf5b7948ece6add47d57f9d6c2
Add Method Annotation,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethod,MethodUtilsTest,25,1,1,1d5ba7a1109ba6bf5b7948ece6add47d57f9d6c2
Add Method Annotation,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethod,MethodUtilsTest,25,1,1,1d5ba7a1109ba6bf5b7948ece6add47d57f9d6c2
Remove Method Annotation,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethod,MethodUtilsTest,25,1,0,1d5ba7a1109ba6bf5b7948ece6add47d57f9d6c2
Add Parameter,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethodFromDescription,MethodUtilsTest,19,5,2,1d5ba7a1109ba6bf5b7948ece6add47d57f9d6c2
Add Method Annotation,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethodFromDescription,MethodUtilsTest,19,5,2,1d5ba7a1109ba6bf5b7948ece6add47d57f9d6c2
Add Method Annotation,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethodFromDescription,MethodUtilsTest,19,5,2,1d5ba7a1109ba6bf5b7948ece6add47d57f9d6c2
Remove Method Annotation,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethodFromDescription,MethodUtilsTest,19,1,0,1d5ba7a1109ba6bf5b7948ece6add47d57f9d6c2
Remove Class Modifier,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,,MethodUtilsTest,20,1,2,1d5ba7a1109ba6bf5b7948ece6add47d57f9d6c2
Extract Method,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,100,5,2,1d5ba7a1109ba6bf5b7948ece6add47d57f9d6c2
Parameterize Variable,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,2,1,1,1d5ba7a1109ba6bf5b7948ece6add47d57f9d6c2
Inline Variable,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,2,1,1,1d5ba7a1109ba6bf5b7948ece6add47d57f9d6c2
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,39,2,0,1d5ba7a1109ba6bf5b7948ece6add47d57f9d6c2
Inline Variable,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleMethodInaccessible,MethodUtilsTest,3,1,0,1d5ba7a1109ba6bf5b7948ece6add47d57f9d6c2
Inline Variable,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleMethodInaccessible,MethodUtilsTest,2,1,0,1d5ba7a1109ba6bf5b7948ece6add47d57f9d6c2
Add Parameter,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethod,MethodUtilsTest,25,1,1,1d5ba7a1109ba6bf5b7948ece6add47d57f9d6c2
Add Method Annotation,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethod,MethodUtilsTest,25,1,1,1d5ba7a1109ba6bf5b7948ece6add47d57f9d6c2
Add Method Annotation,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethod,MethodUtilsTest,25,1,1,1d5ba7a1109ba6bf5b7948ece6add47d57f9d6c2
Remove Method Annotation,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethod,MethodUtilsTest,25,1,0,1d5ba7a1109ba6bf5b7948ece6add47d57f9d6c2
Add Parameter,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethodFromDescription,MethodUtilsTest,19,5,2,1d5ba7a1109ba6bf5b7948ece6add47d57f9d6c2
