refactoring_type,file_path,method_name,class_name,lines_changed,cyclomatic_complexity,nesting_depth,commit_sha
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FactoryUtilsTest.java,testExceptionFactory,FactoryUtilsTest,14,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FactoryUtilsTest.java,testInstantiateFactoryComplex,FactoryUtilsTest,24,1,2,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FactoryUtilsTest.java,testInstantiateFactoryMismatch,FactoryUtilsTest,8,1,2,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FactoryUtilsTest.java,testInstantiateFactoryNoConstructor,FactoryUtilsTest,8,1,2,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FactoryUtilsTest.java,testInstantiateFactoryNull,FactoryUtilsTest,8,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FactoryUtilsTest.java,testInstantiateFactorySimple,FactoryUtilsTest,18,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FactoryUtilsTest.java,testNullFactory,FactoryUtilsTest,14,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FactoryUtilsTest.java,testPrototypeFactoryNull,FactoryUtilsTest,8,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FactoryUtilsTest.java,testPrototypeFactoryPublicBad,FactoryUtilsTest,10,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FactoryUtilsTest.java,testPrototypeFactoryPublicCloneMethod,FactoryUtilsTest,18,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FactoryUtilsTest.java,testPrototypeFactoryPublicCopyConstructor,FactoryUtilsTest,18,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FactoryUtilsTest.java,testPrototypeFactoryPublicSerialization,FactoryUtilsTest,18,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FactoryUtilsTest.java,testPrototypeFactoryPublicSerializationError,FactoryUtilsTest,18,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FactoryUtilsTest.java,testSingletonPatternInSerialization,FactoryUtilsTest,34,3,2,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,testAllMatch,FluentIterableTest,18,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,testAnyMatch,FluentIterableTest,18,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,testAppendElements,FluentIterableTest,26,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,testAppendIterable,FluentIterableTest,22,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,testAsEnumeration,FluentIterableTest,18,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,testCollate,FluentIterableTest,24,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,testCollateWithComparator,FluentIterableTest,36,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,testContains,FluentIterableTest,14,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,testCopyInto,FluentIterableTest,46,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,testEval,FluentIterableTest,26,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,testFactoryMethodOf,FluentIterableTest,36,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,testFilter,FluentIterableTest,28,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,testForEach,FluentIterableTest,30,2,2,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,testGet,FluentIterableTest,20,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,testIsEmpty,FluentIterableTest,10,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,testIterator,FluentIterableTest,16,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,testLimit,FluentIterableTest,46,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,testReverse,FluentIterableTest,22,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,testSize,FluentIterableTest,10,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,testSkip,FluentIterableTest,46,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,testToArray,FluentIterableTest,20,1,2,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,testToString,FluentIterableTest,16,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,testTransform,FluentIterableTest,28,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,testUnique,FluentIterableTest,20,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,testUnmodifiable,FluentIterableTest,26,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/FluentIterableTest.java,testZip,FluentIterableTest,40,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testContainsWithEquator,IterableUtilsTest,58,1,3,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testCountMatches,IterableUtilsTest,14,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testDuplicateListAllSameInList,IterableUtilsTest,10,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testDuplicateListEmptyDeque,IterableUtilsTest,8,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testDuplicateListEmptyList,IterableUtilsTest,10,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testDuplicateListEmptySet,IterableUtilsTest,8,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testDuplicateListMultipleDuplicatesInDeque,IterableUtilsTest,12,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testDuplicateListMultipleDuplicatesInDequeReverse,IterableUtilsTest,14,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testDuplicateListMultipleDuplicatesInList,IterableUtilsTest,12,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testDuplicateListMultipleDuplicatesInListReverse,IterableUtilsTest,14,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testDuplicateListNoDuplicates,IterableUtilsTest,10,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testDuplicateListSingleElement,IterableUtilsTest,10,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testDuplicateListWithDuplicates,IterableUtilsTest,12,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testDuplicateSequencedSetMultipleDuplicates,IterableUtilsTest,14,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testDuplicateSetEmptyDeque,IterableUtilsTest,8,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testDuplicateSetEmptyList,IterableUtilsTest,10,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testDuplicateSetEmptySet,IterableUtilsTest,8,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testDuplicateSetInSet,IterableUtilsTest,12,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testDuplicateSetMultipleDuplicatesInDeque,IterableUtilsTest,12,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testDuplicateSetMultipleDuplicatesInList,IterableUtilsTest,12,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testDuplicateSetNoDuplicates,IterableUtilsTest,10,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testDuplicateSetSingleElement,IterableUtilsTest,10,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testDuplicateSetWithDuplicates,IterableUtilsTest,12,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testDuplicatListAllSameInDeque,IterableUtilsTest,10,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testDuplicatSetAllSameInDeque,IterableUtilsTest,10,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testFind,IterableUtilsTest,24,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testFirstFromIterableIndexOutOfBoundsException,IterableUtilsTest,14,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testForEach,IterableUtilsTest,46,2,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testForEachButLast,IterableUtilsTest,52,2,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testForEachFailure,IterableUtilsTest,14,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testFrequency,IterableUtilsTest,94,2,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testFrequencyOfNull,IterableUtilsTest,34,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testGetFromIterableIndexOutOfBoundsException,IterableUtilsTest,16,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testIndexOf,IterableUtilsTest,24,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testMatchesAll,IterableUtilsTest,30,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testMatchesAny,IterableUtilsTest,36,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testPartition,IterableUtilsTest,64,1,2,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testPartitionMultiplePredicates,IterableUtilsTest,54,1,2,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testSize,IterableUtilsTest,8,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testToString,IterableUtilsTest,52,1,2,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testToStringDelimiter,IterableUtilsTest,64,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IterableUtilsTest.java,testToStringWithNullArguments,IterableUtilsTest,42,1,2,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testArrayIterator,IteratorUtilsTest,110,1,2,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testArrayListIterator,IteratorUtilsTest,188,1,2,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testAsEnumerationNull,IteratorUtilsTest,8,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testAsIterable,IteratorUtilsTest,40,2,2,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testAsIterableNull,IteratorUtilsTest,8,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testAsIterator,IteratorUtilsTest,18,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testAsIteratorNull,IteratorUtilsTest,26,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testAsMultipleIterable,IteratorUtilsTest,52,3,2,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testAsMultipleIterableNull,IteratorUtilsTest,8,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testChainedIteratorArrayOfIterator,IteratorUtilsTest,38,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testChainedIteratorList,IteratorUtilsTest,32,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testChainedIteratorOfIterators,IteratorUtilsTest,52,1,3,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testChainedIteratorRawGenerics,IteratorUtilsTest,16,2,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testCollatedIterator,IteratorUtilsTest,74,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testCollatedIteratorCollectionNull,IteratorUtilsTest,20,5,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testCollatedIteratorNull,IteratorUtilsTest,48,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testEmptyIterator,IteratorUtilsTest,40,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testEmptyListIterator,IteratorUtilsTest,50,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testFilteredIterator,IteratorUtilsTest,16,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testFilteredListIterator,IteratorUtilsTest,22,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testFind,IteratorUtilsTest,24,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testFirstFromIterator,IteratorUtilsTest,12,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testForEach,IteratorUtilsTest,46,2,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testForEachButLast,IteratorUtilsTest,52,2,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testGetAtIndexFromIterator,IteratorUtilsTest,24,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testGetAtIndexFromIteratorDefault,IteratorUtilsTest,22,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testGetIterator,IteratorUtilsTest,50,1,2,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testIndexOf,IteratorUtilsTest,24,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testLoopingIterator,IteratorUtilsTest,20,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testLoopingListIterator,IteratorUtilsTest,16,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testNodeIterator,IteratorUtilsTest,52,2,2,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testNodeListIterator,IteratorUtilsTest,46,2,2,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testObjectGraphIterator,IteratorUtilsTest,8,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testPeekingIterator,IteratorUtilsTest,14,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testPushBackIterator,IteratorUtilsTest,14,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testSingletonIterator,IteratorUtilsTest,8,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testSingletonListIterator,IteratorUtilsTest,8,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testToArray,IteratorUtilsTest,22,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testToArray2,IteratorUtilsTest,24,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testToList,IteratorUtilsTest,26,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testToListIterator,IteratorUtilsTest,30,2,2,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testToListIteratorNull,IteratorUtilsTest,8,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testToSet,IteratorUtilsTest,22,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testTransformedIterator,IteratorUtilsTest,16,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testUnmodifiableIteratorImmutability,IteratorUtilsTest,26,2,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testUnmodifiableIteratorIteration,IteratorUtilsTest,50,2,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testUnmodifiableListIteratorImmutability,IteratorUtilsTest,34,2,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testUnmodifiableListIteratorIteration,IteratorUtilsTest,100,2,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testUnmodifiableMapIterator,IteratorUtilsTest,14,2,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/IteratorUtilsTest.java,testZippingIterator,IteratorUtilsTest,14,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,testDefaultIfNull,ListUtilsTest,14,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,testEmptyIfNull,ListUtilsTest,14,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,testEquals,ListUtilsTest,48,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
Change Method Access Modifier,src/test/java/org/apache/commons/collections4/ListUtilsTest.java,testGetFirst,ListUtilsTest,12,1,1,d1a4c56c32dabceb9afa4b5ad5fd1e0a9f99cd42
