file_path,refactoring_type,lines_changed,cyclomatic_complexity,nesting_depth,commit_sha,commit_idx,refactoring_idx,description,has_left_locations,has_right_locations
mockito-core/src/test/java/org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValuesTest.java,Rename Method,8,1,1,bc06f214c0c9505a1887e4422a449c6304993ff5,0,0,Rename Method public should_return_empty_sequenced_collection_on_java21() : void renamed to public should_return_empty_sequenced_collection() : void in class org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValuesTest,True,True
mockito-core/src/test/java/org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValuesTest.java,Rename Method,8,1,1,bc06f214c0c9505a1887e4422a449c6304993ff5,0,1,Rename Method public should_return_empty_sequenced_set_on_java21() : void renamed to public should_return_empty_sequenced_set() : void in class org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValuesTest,True,True
mockito-core/src/test/java/org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValuesTest.java,Rename Method,8,1,1,bc06f214c0c9505a1887e4422a449c6304993ff5,0,2,Rename Method public should_return_empty_sequenced_map_on_java21() : void renamed to public should_return_empty_sequenced_map() : void in class org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValuesTest,True,True
mockito-core/src/test/java/org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValuesTest.java,Remove Variable Modifier,1,1,1,bc06f214c0c9505a1887e4422a449c6304993ff5,0,3,Remove Variable Modifier final in variable durationClass : Class<?> in method public should_return_empty_duration() : void from class org.mockito.internal.stubbing.defaultanswers.ReturnsEmptyValuesTest,True,True
mockito-core/src/test/java/org/mockito/internal/util/collections/HashCodeAndEqualsSafeSetTest.java,Add Method Annotation,5,1,1,8b580e2e2db708db8d5b5b884c9eb18ec964651c,29,0,"Add Method Annotation @SuppressWarnings(""SelfAssertion"") in method public isEqualToItself() : void from class org.mockito.internal.util.collections.HashCodeAndEqualsSafeSetTest",True,True
mockito-core/src/test/java/org/mockitousage/basicapi/ReplacingObjectMethodsTest.java,Add Method Annotation,11,1,1,8b580e2e2db708db8d5b5b884c9eb18ec964651c,29,1,"Add Method Annotation @SuppressWarnings(""SelfAssertion"") in method public shouldReplaceObjectMethods() : void from class org.mockitousage.basicapi.ReplacingObjectMethodsTest",True,True
mockito-core/src/test/java/org/mockitousage/basicapi/ReplacingObjectMethodsTest.java,Add Method Annotation,11,1,1,8b580e2e2db708db8d5b5b884c9eb18ec964651c,29,2,"Add Method Annotation @SuppressWarnings(""SelfAssertion"") in method public shouldReplaceObjectMethodsWhenOverridden() : void from class org.mockitousage.basicapi.ReplacingObjectMethodsTest",True,True
mockito-core/src/main/java/org/mockito/internal/invocation/MatcherApplicationStrategy.java,Change Variable Type,1,1,1,8f15169774cb639b5757f121f27d6c0d8ca18c97,45,0,Change Variable Type matcherType : Class<?> to isJavaVarargs : boolean in method public forEachMatcherAndArgument(action ArgumentMatcherAction) : boolean from class org.mockito.internal.invocation.MatcherApplicationStrategy,True,True
mockito-core/src/main/java/org/mockito/internal/invocation/MatcherApplicationStrategy.java,Rename Variable,1,1,1,8f15169774cb639b5757f121f27d6c0d8ca18c97,45,1,Rename Variable matcherType : Class<?> to isJavaVarargs : boolean in method public forEachMatcherAndArgument(action ArgumentMatcherAction) : boolean from class org.mockito.internal.invocation.MatcherApplicationStrategy,True,True
mockito-core/src/main/java/org/mockito/internal/invocation/MatcherApplicationStrategy.java,Rename Variable,3,1,1,8f15169774cb639b5757f121f27d6c0d8ca18c97,45,2,Rename Variable maybeVararg : boolean to isVararg : boolean in method public forEachMatcherAndArgument(action ArgumentMatcherAction) : boolean from class org.mockito.internal.invocation.MatcherApplicationStrategy,True,True
