refactoring_type,class_name,method_name,lines_changed,cyclomatic_complexity,nesting_depth,file_path,commit_sha,class_encoded,method_encoded
Add Parameter Annotation,CompletionProgressIndicator,private,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,6e96835a5997dfc842a223fe473363aeb2be4f4d,9,2
Add Parameter Annotation,CompletionProgressIndicator,private,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,6e96835a5997dfc842a223fe473363aeb2be4f4d,9,2
Add Parameter Annotation,CompletionProgressIndicator,public,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,6e96835a5997dfc842a223fe473363aeb2be4f4d,9,4
Add Parameter Annotation,CompletionProgressIndicator,private,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,6e96835a5997dfc842a223fe473363aeb2be4f4d,9,2
Add Parameter Annotation,CompletionProgressIndicator,private,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,6e96835a5997dfc842a223fe473363aeb2be4f4d,9,2
Add Parameter Annotation,CompletionProgressIndicator,private,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,6e96835a5997dfc842a223fe473363aeb2be4f4d,9,2
Add Attribute Annotation,CompletionProgressIndicator,,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,6e96835a5997dfc842a223fe473363aeb2be4f4d,9,0
Add Parameter Annotation,CompletionProgressIndicator,package,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,6e96835a5997dfc842a223fe473363aeb2be4f4d,9,1
Add Parameter Annotation,CodeCompletionHandlerBase,private,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,5fed472b7c331401b1a279ac5b0660a565d4eec4,5,2
Add Parameter Annotation,CodeCompletionHandlerBase,protected,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,26764034139143fafc541bd07faf69712da05db8,5,3
Remove Parameter Modifier,CodeCompletionHandlerBase,protected,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,26764034139143fafc541bd07faf69712da05db8,5,3
Add Parameter Annotation,CompletionProgressIndicator,private,1,1,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,26764034139143fafc541bd07faf69712da05db8,9,2
Rename Variable,CompletionProgressIndicator,private,1,2,1,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,26764034139143fafc541bd07faf69712da05db8,9,2
