file_path,refactoring_type,lines_changed,cyclomatic_complexity,nesting_depth,commit_sha,commit_idx,refactoring_idx,description,has_left_locations,has_right_locations
mockito-core/src/test/java/org/mockito/internal/creation/bytebuddy/InlineDelegateByteBuddyMockMakerTest.java,Remove Thrown Exception Type,26,8,1,c81be5deedfd966bd17c9619769a34c74d9779e6,93,93,Remove Thrown Exception Type Exception in method public testMockDispatcherIsRelocated() : void from class org.mockito.internal.creation.bytebuddy.InlineDelegateByteBuddyMockMakerTest,True,True
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,Remove Parameter,9,3,1,d000e630775cfa45752eeb491a197283e7370621,30,30,"Remove Parameter target : Class<?> in method package isOpened(source Class<?>, target Class<?>) : boolean from class org.mockito.internal.creation.bytebuddy.ModuleHandler.NoModuleSystemFound",True,True
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,Rename Method,8,2,1,d000e630775cfa45752eeb491a197283e7370621,28,28,Rename Method package isExported(source Class<?>) : boolean renamed to package toCodegenLoader(classLoader ClassLoader) : ClassLoader in class org.mockito.internal.creation.bytebuddy.ModuleHandler.NoModuleSystemFound,True,True
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,Remove Parameter,17,5,1,d000e630775cfa45752eeb491a197283e7370621,88,88,"Remove Parameter target : Class<?> in method package isOpened(source Class<?>, target Class<?>) : boolean from class org.mockito.internal.creation.bytebuddy.ModuleHandler.ModuleSystemFound",True,True
mockito-core/src/test/java/org/mockitousage/basicapi/ReplacingObjectMethodsTest.java,Add Method Annotation,24,8,1,8b580e2e2db708db8d5b5b884c9eb18ec964651c,5,5,"Add Method Annotation @SuppressWarnings(""SelfAssertion"") in method public shouldReplaceObjectMethods() : void from class org.mockitousage.basicapi.ReplacingObjectMethodsTest",True,True
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,Change Method Access Modifier,11,3,1,d000e630775cfa45752eeb491a197283e7370621,45,45,"Change Method Access Modifier package to private in method private canRead(module Object, target Object) : boolean from class org.mockito.internal.creation.bytebuddy.ModuleHandler.ModuleSystemFound",True,True
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/MockMethodInterceptor.java,Change Attribute Access Modifier,2,1,1,d000e630775cfa45752eeb491a197283e7370621,69,69,Change Attribute Access Modifier package to private in attribute private handler : MockHandler<?> from class org.mockito.internal.creation.bytebuddy.access.MockMethodInterceptor,True,True
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,Add Class Modifier,465,10,1,d000e630775cfa45752eeb491a197283e7370621,35,35,Add Class Modifier abstract in class org.mockito.internal.creation.bytebuddy.ModuleHandler.ModuleSystemFound,True,True
mockito-core/src/main/java/org/mockito/codegen/InjectionBase.java,Move Class,20,6,1,d000e630775cfa45752eeb491a197283e7370621,16,16,Move Class org.mockito.codegen.InjectionBase moved to org.mockito.internal.creation.bytebuddy.codegen.InjectionBase,True,True
mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/MockMethodInterceptor.java,Change Parameter Type,4,1,2,d000e630775cfa45752eeb491a197283e7370621,72,72,"Change Parameter Type mockCreationSettings : MockCreationSettings to mockCreationSettings : MockCreationSettings<?> in method public MockMethodInterceptor(handler MockHandler<?>, mockCreationSettings MockCreationSettings<?>) from class org.mockito.internal.creation.bytebuddy.access.MockMethodInterceptor",True,True
