refactoring_type,file_path,method_name,class_name,lines_changed,commit_sha
Add Parameter Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,private,CompletionProgressIndicator,29,6e96835a5997dfc842a223fe473363aeb2be4f4d
Add Parameter Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,private,CompletionProgressIndicator,29,6e96835a5997dfc842a223fe473363aeb2be4f4d
Add Parameter Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,private,CompletionProgressIndicator,29,6e96835a5997dfc842a223fe473363aeb2be4f4d
Add Attribute Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,,CompletionProgressIndicator,3,6e96835a5997dfc842a223fe473363aeb2be4f4d
Add Parameter Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,package,CompletionProgressIndicator,9,6e96835a5997dfc842a223fe473363aeb2be4f4d
Add Parameter Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,private,CodeCompletionHandlerBase,69,5fed472b7c331401b1a279ac5b0660a565d4eec4
Add Parameter Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,protected,CodeCompletionHandlerBase,113,26764034139143fafc541bd07faf69712da05db8
Remove Parameter Modifier,platform/lang-impl/src/com/intellij/codeInsight/completion/CodeCompletionHandlerBase.java,protected,CodeCompletionHandlerBase,112,26764034139143fafc541bd07faf69712da05db8
Add Parameter Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,private,CompletionProgressIndicator,63,26764034139143fafc541bd07faf69712da05db8
Rename Variable,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,private,CompletionProgressIndicator,10,26764034139143fafc541bd07faf69712da05db8
Add Parameter Annotation,platform/testFramework/src/com/intellij/testFramework/fixtures/EditorTestFixture.java,protected,EditorTestFixture,13,26764034139143fafc541bd07faf69712da05db8
Add Parameter Annotation,platform/lang-impl/src/com/intellij/codeInsight/lookup/impl/LookupImpl.java,public,LookupImpl,36,1ef1057c9703fba6f6bd4fa2fc49e606e0b0226a
Add Parameter Annotation,platform/lang-impl/src/com/intellij/codeInsight/lookup/impl/LookupImpl.java,public,LookupImpl,36,1ef1057c9703fba6f6bd4fa2fc49e606e0b0226a
Extract Method,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,,CompletionPhase,242,b3aaca1310eb726ba2cacb650296fae7792b92f1
Extract Method,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionPhase.java,,CompletionPhase,205,b3aaca1310eb726ba2cacb650296fae7792b92f1
Add Parameter Annotation,platform/lang-impl/src/com/intellij/codeInsight/completion/CompletionProgressIndicator.java,package,CompletionProgressIndicator,39,c177e3bf87bae432d247cff0012c1dc2ff218ba8
Move Class,plugins/kotlin/idea/tests/test/org/jetbrains/kotlin/idea/inspections/LocalInspectionTestGenerated.java,,LocalInspectionTestGenerated,66,f6c74ffa8d315ac4d88b7bfa56d314faa3df6740
Modify Class Annotation,plugins/kotlin/idea/tests/test/org/jetbrains/kotlin/idea/inspections/LocalInspectionTestGenerated.java,,LocalInspectionTestGenerated,68,f6c74ffa8d315ac4d88b7bfa56d314faa3df6740
Add Class Annotation,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,,EnvironmentUtilTest,125,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4
Change Variable Type,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,private,EnvironmentUtilTest,6,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4
Change Variable Type,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,private,EnvironmentUtilTest,4,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4
Modify Method Annotation,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,package,EnvironmentUtilTest,9,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4
Change Method Access Modifier,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,package,EnvironmentUtilTest,7,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4
Change Method Access Modifier,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,package,EnvironmentUtilTest,13,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4
Change Method Access Modifier,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,package,EnvironmentUtilTest,29,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4
Change Variable Type,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,package,EnvironmentUtilTest,4,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4
Change Variable Type,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,package,EnvironmentUtilTest,4,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4
Change Method Access Modifier,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,package,EnvironmentUtilTest,11,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4
Change Variable Type,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,package,EnvironmentUtilTest,4,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4
Change Method Access Modifier,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,package,EnvironmentUtilTest,9,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4
Change Variable Type,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,package,EnvironmentUtilTest,6,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4
Change Method Access Modifier,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,package,EnvironmentUtilTest,11,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4
Change Variable Type,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,package,EnvironmentUtilTest,8,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4
Change Method Access Modifier,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,package,EnvironmentUtilTest,13,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4
