refactoring_type,file_path,method_name,class_name,lines_changed
Add Method Annotation,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethod,MethodUtilsTest,25
Remove Method Annotation,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethod,MethodUtilsTest,25
Add Parameter,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethodFromDescription,MethodUtilsTest,19
Add Method Annotation,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethodFromDescription,MethodUtilsTest,19
Add Method Annotation,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethodFromDescription,MethodUtilsTest,19
Remove Method Annotation,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,testGetAccessibleInterfaceMethodFromDescription,MethodUtilsTest,19
Remove Class Modifier,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,,MethodUtilsTest,20
Extract Method,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,100
Parameterize Variable,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,2
Inline Variable,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,2
Add Parameter Modifier,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,,MethodUtils,39
Move Class,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,137
Add Attribute Annotation,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,135
Add Attribute Annotation,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,4
Add Attribute Annotation,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,18
Change Class Access Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,137
Remove Class Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,137
Remove Class Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,137
Change Method Access Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,74
Replace Anonymous With Class,gson/src/main/java/com/google/gson/TypeAdapter.java,,TypeAdapter,43
Change Class Access Modifier,gson/src/main/java/com/google/gson/internal/bind/EnumTypeAdapter.java,,EnumTypeAdapter,166
Change Attribute Access Modifier,gson/src/main/java/com/google/gson/internal/bind/EnumTypeAdapter.java,,EnumTypeAdapter,32
Change Class Access Modifier,gson/src/main/java/com/google/gson/internal/bind/JsonElementTypeAdapter.java,,JsonElementTypeAdapter,279
Change Attribute Access Modifier,gson/src/main/java/com/google/gson/internal/bind/JsonElementTypeAdapter.java,,JsonElementTypeAdapter,2
Remove Attribute Annotation,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,3
Remove Attribute Annotation,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,4
Remove Attribute Annotation,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,3
