refactoring_type,class_name,method_name,lines_changed,cyclomatic_complexity,nesting_depth,file_path,commit_sha,class_encoded,method_encoded
Change Return Type,EarlyAccessCatalogJdkToolchainResolver,private,1,1,1,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/toolchain/EarlyAccessCatalogJdkToolchainResolver.java,5e71f1aa28faf87cae7809cb4237fac7ed5292b6,224,2
Extract Variable,EarlyAccessCatalogJdkToolchainResolver,package,1,1,1,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/toolchain/EarlyAccessCatalogJdkToolchainResolver.java,5e71f1aa28faf87cae7809cb4237fac7ed5292b6,224,1
Extract Variable,EarlyAccessCatalogJdkToolchainResolver,package,1,1,1,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/toolchain/EarlyAccessCatalogJdkToolchainResolver.java,5e71f1aa28faf87cae7809cb4237fac7ed5292b6,224,1
Change Variable Type,EarlyAccessCatalogJdkToolchainResolver,package,8,1,1,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/toolchain/EarlyAccessCatalogJdkToolchainResolver.java,5e71f1aa28faf87cae7809cb4237fac7ed5292b6,224,1
Change Return Type,EarlyAccessCatalogJdkToolchainResolver,package,1,1,1,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/toolchain/EarlyAccessCatalogJdkToolchainResolver.java,5e71f1aa28faf87cae7809cb4237fac7ed5292b6,224,1
Change Method Access Modifier,EarlyAccessCatalogJdkToolchainResolver,package,25,1,3,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/toolchain/EarlyAccessCatalogJdkToolchainResolver.java,5e71f1aa28faf87cae7809cb4237fac7ed5292b6,224,1
Change Return Type,EarlyAccessCatalogJdkToolchainResolver,public,1,1,1,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/toolchain/EarlyAccessCatalogJdkToolchainResolver.java,5e71f1aa28faf87cae7809cb4237fac7ed5292b6,224,4
Change Class Access Modifier,EarlyAccessCatalogJdkToolchainResolver,,25,3,2,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/toolchain/EarlyAccessCatalogJdkToolchainResolver.java,5e71f1aa28faf87cae7809cb4237fac7ed5292b6,224,0
Extract And Move Method,DefaultBuildParameterExtension,,4,1,1,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/info/DefaultBuildParameterExtension.java,5e71f1aa28faf87cae7809cb4237fac7ed5292b6,170,0
Change Attribute Access Modifier,TransportVersions,,1,1,1,server/src/main/java/org/elasticsearch/TransportVersions.java,0a5a74c5e9dad3d62a8486e52422be2ae1295e03,1024,0
Change Attribute Access Modifier,TransportVersions,,1,1,1,server/src/main/java/org/elasticsearch/TransportVersions.java,0a5a74c5e9dad3d62a8486e52422be2ae1295e03,1024,0
Change Attribute Access Modifier,TransportVersions,,1,1,1,server/src/main/java/org/elasticsearch/TransportVersions.java,0a5a74c5e9dad3d62a8486e52422be2ae1295e03,1024,0
Change Attribute Access Modifier,TransportVersions,,1,1,1,server/src/main/java/org/elasticsearch/TransportVersions.java,0a5a74c5e9dad3d62a8486e52422be2ae1295e03,1024,0
Change Attribute Access Modifier,TransportVersions,,1,1,1,server/src/main/java/org/elasticsearch/TransportVersions.java,0a5a74c5e9dad3d62a8486e52422be2ae1295e03,1024,0
Change Attribute Access Modifier,TransportVersions,,1,1,1,server/src/main/java/org/elasticsearch/TransportVersions.java,0a5a74c5e9dad3d62a8486e52422be2ae1295e03,1024,0
Change Attribute Access Modifier,TransportVersions,,1,1,1,server/src/main/java/org/elasticsearch/TransportVersions.java,0a5a74c5e9dad3d62a8486e52422be2ae1295e03,1024,0
Change Attribute Access Modifier,TransportVersions,,1,1,1,server/src/main/java/org/elasticsearch/TransportVersions.java,0a5a74c5e9dad3d62a8486e52422be2ae1295e03,1024,0
Change Attribute Access Modifier,TransportVersions,,1,4,1,server/src/main/java/org/elasticsearch/TransportVersions.java,0a5a74c5e9dad3d62a8486e52422be2ae1295e03,1024,0
Change Attribute Access Modifier,TransportVersions,,1,6,1,server/src/main/java/org/elasticsearch/TransportVersions.java,0a5a74c5e9dad3d62a8486e52422be2ae1295e03,1024,0
Change Attribute Access Modifier,TransportVersions,,1,1,1,server/src/main/java/org/elasticsearch/TransportVersions.java,0a5a74c5e9dad3d62a8486e52422be2ae1295e03,1024,0
Change Attribute Access Modifier,TransportVersions,,1,1,1,server/src/main/java/org/elasticsearch/TransportVersions.java,0a5a74c5e9dad3d62a8486e52422be2ae1295e03,1024,0
Change Attribute Access Modifier,TransportVersions,,1,1,1,server/src/main/java/org/elasticsearch/TransportVersions.java,0a5a74c5e9dad3d62a8486e52422be2ae1295e03,1024,0
Change Attribute Access Modifier,TransportVersions,,1,1,1,server/src/main/java/org/elasticsearch/TransportVersions.java,0a5a74c5e9dad3d62a8486e52422be2ae1295e03,1024,0
Change Attribute Access Modifier,TransportVersions,,1,1,1,server/src/main/java/org/elasticsearch/TransportVersions.java,0a5a74c5e9dad3d62a8486e52422be2ae1295e03,1024,0
Move Attribute,TransportVersions,,1,1,1,server/src/main/java/org/elasticsearch/TransportVersions.java,0a5a74c5e9dad3d62a8486e52422be2ae1295e03,1024,0
Move Attribute,TransportVersions,,1,1,1,server/src/main/java/org/elasticsearch/TransportVersions.java,0a5a74c5e9dad3d62a8486e52422be2ae1295e03,1024,0
Move Attribute,TransportVersions,,1,1,1,server/src/main/java/org/elasticsearch/TransportVersions.java,0a5a74c5e9dad3d62a8486e52422be2ae1295e03,1024,0
Move Attribute,TransportVersions,,1,1,1,server/src/main/java/org/elasticsearch/TransportVersions.java,0a5a74c5e9dad3d62a8486e52422be2ae1295e03,1024,0
Move Attribute,TransportVersions,,1,1,1,server/src/main/java/org/elasticsearch/TransportVersions.java,0a5a74c5e9dad3d62a8486e52422be2ae1295e03,1024,0
Move Attribute,TransportVersions,,1,1,1,server/src/main/java/org/elasticsearch/TransportVersions.java,0a5a74c5e9dad3d62a8486e52422be2ae1295e03,1024,0
Move Attribute,TransportVersions,,1,1,1,server/src/main/java/org/elasticsearch/TransportVersions.java,0a5a74c5e9dad3d62a8486e52422be2ae1295e03,1024,0
Move Attribute,TransportVersions,,1,1,1,server/src/main/java/org/elasticsearch/TransportVersions.java,0a5a74c5e9dad3d62a8486e52422be2ae1295e03,1024,0
Move Attribute,TransportVersions,,1,4,1,server/src/main/java/org/elasticsearch/TransportVersions.java,0a5a74c5e9dad3d62a8486e52422be2ae1295e03,1024,0
Move Attribute,TransportVersions,,1,6,1,server/src/main/java/org/elasticsearch/TransportVersions.java,0a5a74c5e9dad3d62a8486e52422be2ae1295e03,1024,0
Move Attribute,TransportVersions,,1,1,1,server/src/main/java/org/elasticsearch/TransportVersions.java,0a5a74c5e9dad3d62a8486e52422be2ae1295e03,1024,0
Move Attribute,TransportVersions,,1,1,1,server/src/main/java/org/elasticsearch/TransportVersions.java,0a5a74c5e9dad3d62a8486e52422be2ae1295e03,1024,0
Move Attribute,TransportVersions,,1,1,1,server/src/main/java/org/elasticsearch/TransportVersions.java,0a5a74c5e9dad3d62a8486e52422be2ae1295e03,1024,0
Move Attribute,TransportVersions,,1,1,1,server/src/main/java/org/elasticsearch/TransportVersions.java,0a5a74c5e9dad3d62a8486e52422be2ae1295e03,1024,0
Move Attribute,TransportVersions,,1,1,1,server/src/main/java/org/elasticsearch/TransportVersions.java,0a5a74c5e9dad3d62a8486e52422be2ae1295e03,1024,0
Add Parameter,NodeServiceProvider,package,14,1,1,server/src/main/java/org/elasticsearch/node/NodeServiceProvider.java,feb99ea509641d9471d89071db2ade43f7a76548,612,1
Add Method Annotation,RemoteClusterService,private,11,2,2,server/src/main/java/org/elasticsearch/transport/RemoteClusterService.java,feb99ea509641d9471d89071db2ade43f7a76548,690,2
Add Parameter,RemoteClusterService,package,22,4,1,server/src/main/java/org/elasticsearch/transport/RemoteClusterService.java,feb99ea509641d9471d89071db2ade43f7a76548,690,1
Remove Method Annotation,RemoteClusterService,package,1,1,1,server/src/main/java/org/elasticsearch/transport/RemoteClusterService.java,feb99ea509641d9471d89071db2ade43f7a76548,690,1
Extract Method,TransportService,,45,2,1,server/src/main/java/org/elasticsearch/transport/TransportService.java,feb99ea509641d9471d89071db2ade43f7a76548,1009,0
Remove Method Annotation,TransportService,public,1,1,1,server/src/main/java/org/elasticsearch/transport/TransportService.java,feb99ea509641d9471d89071db2ade43f7a76548,1009,4
Extract Method,RemoteClusterServiceTests,,213,2,6,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,feb99ea509641d9471d89071db2ade43f7a76548,691,0
Extract Method,RemoteClusterServiceTests,,93,1,6,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,feb99ea509641d9471d89071db2ade43f7a76548,691,0
Extract Method,RemoteClusterServiceTests,,15,1,2,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,feb99ea509641d9471d89071db2ade43f7a76548,691,0
Extract Method,RemoteClusterServiceTests,,75,3,6,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,feb99ea509641d9471d89071db2ade43f7a76548,691,0
Extract Method,RemoteClusterServiceTests,,49,3,4,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,feb99ea509641d9471d89071db2ade43f7a76548,691,0
Extract Method,RemoteClusterServiceTests,,58,4,4,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,feb99ea509641d9471d89071db2ade43f7a76548,691,0
Extract Method,RemoteClusterServiceTests,,58,5,5,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,feb99ea509641d9471d89071db2ade43f7a76548,691,0
Extract Method,RemoteClusterServiceTests,,86,1,4,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,feb99ea509641d9471d89071db2ade43f7a76548,691,0
Extract Method,RemoteClusterServiceTests,,89,1,4,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,feb99ea509641d9471d89071db2ade43f7a76548,691,0
Extract Method,RemoteClusterServiceTests,,185,4,8,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,feb99ea509641d9471d89071db2ade43f7a76548,691,0
Extract Method,RemoteClusterServiceTests,,78,7,8,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,feb99ea509641d9471d89071db2ade43f7a76548,691,0
Extract Method,RemoteClusterServiceTests,,91,2,5,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,feb99ea509641d9471d89071db2ade43f7a76548,691,0
Extract Method,RemoteClusterServiceTests,,65,1,2,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,feb99ea509641d9471d89071db2ade43f7a76548,691,0
Extract Method,RemoteClusterServiceTests,,65,1,2,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,feb99ea509641d9471d89071db2ade43f7a76548,691,0
Extract Method,RemoteClusterServiceTests,,65,1,2,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,feb99ea509641d9471d89071db2ade43f7a76548,691,0
Extract Method,RemoteClusterServiceTests,,65,1,2,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,feb99ea509641d9471d89071db2ade43f7a76548,691,0
Extract Method,RemoteClusterServiceTests,,65,1,2,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,feb99ea509641d9471d89071db2ade43f7a76548,691,0
Extract Method,RemoteClusterServiceTests,,65,1,2,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,feb99ea509641d9471d89071db2ade43f7a76548,691,0
Extract Method,RemoteClusterServiceTests,,88,9,5,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,feb99ea509641d9471d89071db2ade43f7a76548,691,0
Extract Method,RemoteClusterServiceTests,,66,1,5,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,feb99ea509641d9471d89071db2ade43f7a76548,691,0
Extract Method,RemoteClusterServiceTests,,110,2,5,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,feb99ea509641d9471d89071db2ade43f7a76548,691,0
Change Variable Type,RemoteClusterServiceTests,private,5,1,1,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,feb99ea509641d9471d89071db2ade43f7a76548,691,2
Parameterize Variable,RemoteClusterServiceTests,private,5,1,1,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,feb99ea509641d9471d89071db2ade43f7a76548,691,2
Change Variable Type,RemoteClusterServiceTests,private,5,1,1,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,feb99ea509641d9471d89071db2ade43f7a76548,691,2
Parameterize Variable,RemoteClusterServiceTests,private,5,1,1,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,feb99ea509641d9471d89071db2ade43f7a76548,691,2
Change Variable Type,RemoteClusterServiceTests,private,5,1,1,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,feb99ea509641d9471d89071db2ade43f7a76548,691,2
Parameterize Variable,RemoteClusterServiceTests,private,5,1,1,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,feb99ea509641d9471d89071db2ade43f7a76548,691,2
Add Parameter,MockNode,protected,44,3,2,test/framework/src/main/java/org/elasticsearch/node/MockNode.java,feb99ea509641d9471d89071db2ade43f7a76548,591,3
Add Method Annotation,FieldAttribute,public,3,1,1,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/FieldAttribute.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,283,4
Add Parameter,FieldAttribute,public,3,1,1,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/FieldAttribute.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,283,4
Add Parameter,FieldAttribute,public,3,1,1,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/FieldAttribute.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,283,4
Add Parameter,FieldAttribute,public,13,1,1,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/FieldAttribute.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,283,4
Add Parameter,FieldAttribute,protected,5,2,2,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/FieldAttribute.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,283,3
Extract Variable,LogicalPlanBuilder,public,5,3,1,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/LogicalPlanBuilder.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,468,4
Extract Variable,LogicalPlanBuilder,public,5,3,1,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/LogicalPlanBuilder.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,468,4
Add Method Annotation,LogicalPlanBuilder,public,84,17,5,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/LogicalPlanBuilder.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,468,4
Add Parameter,EmptyAttribute,protected,4,1,1,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/EmptyAttribute.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,231,3
Add Method Annotation,ReferenceAttribute,public,3,1,1,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/ReferenceAttribute.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,686,4
Add Parameter,ReferenceAttribute,public,10,2,1,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/ReferenceAttribute.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,686,4
Add Parameter Annotation,ReferenceAttribute,public,1,1,1,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/ReferenceAttribute.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,686,4
Remove Parameter,ReferenceAttribute,private,1,1,1,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/ReferenceAttribute.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,686,2
Remove Parameter,ReferenceAttribute,private,1,1,1,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/ReferenceAttribute.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,686,2
Remove Parameter,ReferenceAttribute,private,1,1,1,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/ReferenceAttribute.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,686,2
Reorder Parameter,ReferenceAttribute,public,1,1,1,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/ReferenceAttribute.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,686,4
Remove Method Annotation,ReferenceAttribute,private,1,1,1,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/ReferenceAttribute.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,686,2
Change Method Access Modifier,ReferenceAttribute,public,15,2,2,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/ReferenceAttribute.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,686,4
Add Parameter,ReferenceAttribute,protected,4,1,1,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/ReferenceAttribute.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,686,3
Extract Method,TypedAttribute,,11,1,1,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/TypedAttribute.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,1028,0
Extract Method,UnresolvedAttribute,,3,1,1,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/UnresolvedAttribute.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,1034,0
Extract Method,UnresolvedAttribute,,7,1,1,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/UnresolvedAttribute.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,1034,0
Add Parameter Annotation,UnresolvedAttribute,public,1,1,1,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/UnresolvedAttribute.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,1034,4
Add Parameter Annotation,UnresolvedAttribute,public,1,1,1,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/UnresolvedAttribute.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,1034,4
Remove Method Annotation,UnresolvedAttribute,public,1,1,1,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/UnresolvedAttribute.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,1034,4
Add Parameter,UnresolvedAttribute,protected,4,1,1,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/UnresolvedAttribute.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,1034,3
Extract Method,UnsupportedAttribute,,5,1,1,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/expression/function/UnsupportedAttribute.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,1036,0
Add Parameter,UnsupportedAttribute,protected,4,3,2,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/expression/function/UnsupportedAttribute.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,1036,3
Extract Method,EsqlBaseParser,,39,5,6,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,252,0
Extract Method,EsqlBaseParser,,39,10,7,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,252,0
Change Variable Type,EsqlBaseParser,public,1,1,1,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,252,4
Change Variable Type,EsqlBaseParser,public,1,1,1,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,252,4
Rename Method,EsqlBaseParser,,3,1,1,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,252,0
Change Return Type,EsqlBaseParser,public,1,1,1,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,252,4
Rename Attribute,EsqlBaseParser,,1,1,1,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,252,0
Rename Method,EsqlBaseParser,,3,2,1,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,252,0
Change Return Type,EsqlBaseParser,public,1,1,1,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/parser/EsqlBaseParser.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,252,4
Extract Method,Attribute,,3,1,1,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/Attribute.java,99318f459902d478c8c5ae46c7ae36afa76c4d0b,37,0
