refactoring_type,file_path,method_name,class_name,lines_changed,commit_sha
Extract Variable,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/toolchain/EarlyAccessCatalogJdkToolchainResolver.java,package,EarlyAccessCatalogJdkToolchainResolver,3,5e71f1aa28faf87cae7809cb4237fac7ed5292b6
Change Variable Type,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/toolchain/EarlyAccessCatalogJdkToolchainResolver.java,package,EarlyAccessCatalogJdkToolchainResolver,19,5e71f1aa28faf87cae7809cb4237fac7ed5292b6
Change Return Type,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/toolchain/EarlyAccessCatalogJdkToolchainResolver.java,package,EarlyAccessCatalogJdkToolchainResolver,56,5e71f1aa28faf87cae7809cb4237fac7ed5292b6
Change Method Access Modifier,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/toolchain/EarlyAccessCatalogJdkToolchainResolver.java,package,EarlyAccessCatalogJdkToolchainResolver,54,5e71f1aa28faf87cae7809cb4237fac7ed5292b6
Change Return Type,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/toolchain/EarlyAccessCatalogJdkToolchainResolver.java,public,EarlyAccessCatalogJdkToolchainResolver,4,5e71f1aa28faf87cae7809cb4237fac7ed5292b6
Change Class Access Modifier,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/toolchain/EarlyAccessCatalogJdkToolchainResolver.java,,EarlyAccessCatalogJdkToolchainResolver,54,5e71f1aa28faf87cae7809cb4237fac7ed5292b6
Extract And Move Method,build-tools-internal/src/main/java/org/elasticsearch/gradle/internal/info/DefaultBuildParameterExtension.java,,DefaultBuildParameterExtension,14,5e71f1aa28faf87cae7809cb4237fac7ed5292b6
Change Attribute Access Modifier,server/src/main/java/org/elasticsearch/TransportVersions.java,,TransportVersions,2,0a5a74c5e9dad3d62a8486e52422be2ae1295e03
Change Attribute Access Modifier,server/src/main/java/org/elasticsearch/TransportVersions.java,,TransportVersions,4,0a5a74c5e9dad3d62a8486e52422be2ae1295e03
Change Attribute Access Modifier,server/src/main/java/org/elasticsearch/TransportVersions.java,,TransportVersions,2,0a5a74c5e9dad3d62a8486e52422be2ae1295e03
Change Attribute Access Modifier,server/src/main/java/org/elasticsearch/TransportVersions.java,,TransportVersions,2,0a5a74c5e9dad3d62a8486e52422be2ae1295e03
Change Attribute Access Modifier,server/src/main/java/org/elasticsearch/TransportVersions.java,,TransportVersions,2,0a5a74c5e9dad3d62a8486e52422be2ae1295e03
Change Attribute Access Modifier,server/src/main/java/org/elasticsearch/TransportVersions.java,,TransportVersions,4,0a5a74c5e9dad3d62a8486e52422be2ae1295e03
Change Attribute Access Modifier,server/src/main/java/org/elasticsearch/TransportVersions.java,,TransportVersions,2,0a5a74c5e9dad3d62a8486e52422be2ae1295e03
Change Attribute Access Modifier,server/src/main/java/org/elasticsearch/TransportVersions.java,,TransportVersions,4,0a5a74c5e9dad3d62a8486e52422be2ae1295e03
Change Attribute Access Modifier,server/src/main/java/org/elasticsearch/TransportVersions.java,,TransportVersions,4,0a5a74c5e9dad3d62a8486e52422be2ae1295e03
Change Attribute Access Modifier,server/src/main/java/org/elasticsearch/TransportVersions.java,,TransportVersions,4,0a5a74c5e9dad3d62a8486e52422be2ae1295e03
Change Attribute Access Modifier,server/src/main/java/org/elasticsearch/TransportVersions.java,,TransportVersions,4,0a5a74c5e9dad3d62a8486e52422be2ae1295e03
Change Attribute Access Modifier,server/src/main/java/org/elasticsearch/TransportVersions.java,,TransportVersions,2,0a5a74c5e9dad3d62a8486e52422be2ae1295e03
Change Attribute Access Modifier,server/src/main/java/org/elasticsearch/TransportVersions.java,,TransportVersions,4,0a5a74c5e9dad3d62a8486e52422be2ae1295e03
Change Attribute Access Modifier,server/src/main/java/org/elasticsearch/TransportVersions.java,,TransportVersions,2,0a5a74c5e9dad3d62a8486e52422be2ae1295e03
Change Attribute Access Modifier,server/src/main/java/org/elasticsearch/TransportVersions.java,,TransportVersions,4,0a5a74c5e9dad3d62a8486e52422be2ae1295e03
Move Attribute,server/src/main/java/org/elasticsearch/TransportVersions.java,,TransportVersions,2,0a5a74c5e9dad3d62a8486e52422be2ae1295e03
Move Attribute,server/src/main/java/org/elasticsearch/TransportVersions.java,,TransportVersions,4,0a5a74c5e9dad3d62a8486e52422be2ae1295e03
Move Attribute,server/src/main/java/org/elasticsearch/TransportVersions.java,,TransportVersions,2,0a5a74c5e9dad3d62a8486e52422be2ae1295e03
Move Attribute,server/src/main/java/org/elasticsearch/TransportVersions.java,,TransportVersions,2,0a5a74c5e9dad3d62a8486e52422be2ae1295e03
Move Attribute,server/src/main/java/org/elasticsearch/TransportVersions.java,,TransportVersions,2,0a5a74c5e9dad3d62a8486e52422be2ae1295e03
Move Attribute,server/src/main/java/org/elasticsearch/TransportVersions.java,,TransportVersions,4,0a5a74c5e9dad3d62a8486e52422be2ae1295e03
Move Attribute,server/src/main/java/org/elasticsearch/TransportVersions.java,,TransportVersions,2,0a5a74c5e9dad3d62a8486e52422be2ae1295e03
Move Attribute,server/src/main/java/org/elasticsearch/TransportVersions.java,,TransportVersions,4,0a5a74c5e9dad3d62a8486e52422be2ae1295e03
Move Attribute,server/src/main/java/org/elasticsearch/TransportVersions.java,,TransportVersions,4,0a5a74c5e9dad3d62a8486e52422be2ae1295e03
Move Attribute,server/src/main/java/org/elasticsearch/TransportVersions.java,,TransportVersions,4,0a5a74c5e9dad3d62a8486e52422be2ae1295e03
Move Attribute,server/src/main/java/org/elasticsearch/TransportVersions.java,,TransportVersions,4,0a5a74c5e9dad3d62a8486e52422be2ae1295e03
Move Attribute,server/src/main/java/org/elasticsearch/TransportVersions.java,,TransportVersions,2,0a5a74c5e9dad3d62a8486e52422be2ae1295e03
Move Attribute,server/src/main/java/org/elasticsearch/TransportVersions.java,,TransportVersions,4,0a5a74c5e9dad3d62a8486e52422be2ae1295e03
Move Attribute,server/src/main/java/org/elasticsearch/TransportVersions.java,,TransportVersions,2,0a5a74c5e9dad3d62a8486e52422be2ae1295e03
Move Attribute,server/src/main/java/org/elasticsearch/TransportVersions.java,,TransportVersions,4,0a5a74c5e9dad3d62a8486e52422be2ae1295e03
Add Parameter,server/src/main/java/org/elasticsearch/node/NodeServiceProvider.java,package,NodeServiceProvider,40,feb99ea509641d9471d89071db2ade43f7a76548
Add Method Annotation,server/src/main/java/org/elasticsearch/transport/RemoteClusterService.java,private,RemoteClusterService,23,feb99ea509641d9471d89071db2ade43f7a76548
Add Parameter,server/src/main/java/org/elasticsearch/transport/RemoteClusterService.java,package,RemoteClusterService,44,feb99ea509641d9471d89071db2ade43f7a76548
Remove Method Annotation,server/src/main/java/org/elasticsearch/transport/RemoteClusterService.java,package,RemoteClusterService,44,feb99ea509641d9471d89071db2ade43f7a76548
Extract Method,server/src/main/java/org/elasticsearch/transport/TransportService.java,,TransportService,240,feb99ea509641d9471d89071db2ade43f7a76548
Remove Method Annotation,server/src/main/java/org/elasticsearch/transport/TransportService.java,public,TransportService,68,feb99ea509641d9471d89071db2ade43f7a76548
Extract Method,server/src/test/java/org/elasticsearch/transport/RemoteClusterServiceTests.java,,RemoteClusterServiceTests,432,feb99ea509641d9471d89071db2ade43f7a76548
