refactoring_type,class_name,method_name,lines_changed,cyclomatic_complexity,nesting_depth,file_path,commit_sha,class_encoded,method_encoded
Remove Parameter,ModuleHandler,package,1,2,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,2
Change Return Type,ModuleHandler,package,1,1,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,2
Change Class Access Modifier,ModuleHandler,,259,33,5,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,0
Add Class Modifier,ModuleHandler,,259,33,5,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,0
Rename Method,ModuleHandler,,12,4,2,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,0
Extract Method,ModuleHandler,,12,4,2,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,0
Extract Method,ModuleHandler,,12,4,2,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,0
Rename Variable,ModuleHandler,public,1,1,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,4
Remove Parameter,ModuleHandler,private,1,1,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,3
Remove Parameter,ModuleHandler,private,1,1,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,3
Change Method Access Modifier,ModuleHandler,public,17,1,2,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,4
Change Parameter Type,ModuleHandler,private,1,1,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,3
Remove Method Annotation,ModuleHandler,package,1,1,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,2
Change Method Access Modifier,ModuleHandler,private,4,2,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/ModuleHandler.java,d000e630775cfa45752eeb491a197283e7370621,13,3
